"state_name","species_code","common_name","scientific_name","trend_period","season_code","state_trend_median","state_trend_lowerci","state_trend_upperci","rangewide_trend_median","rangewide_trend_lowerci","rangewide_trend_upperci","breeding_habitat_primary","breeding_habitat_secondary"
"Massachusetts","acafly","Acadian Flycatcher","Empidonax virescens","2012-2022","breeding",-6.51,-12.1,27.8,0.763,-2.99,4.45,"Forests:  Temperate Eastern",NA
"Massachusetts","aldfly","Alder Flycatcher","Empidonax alnorum","2012-2022","breeding",-17,-21.5,-14.6,-9.03,-11.7,-6.11,"Wetlands:  Boreal","Wetlands:  Forested"
"Massachusetts","ambduc","American Black Duck","Anas rubripes","2012-2022","nonbreeding",-33.5,-39.8,-30,-29.7,-33,-25.4,"Wetlands:  Boreal","Coasts:  Saltmarsh"
"Massachusetts","amebit","American Bittern","Botaurus lentiginosus","2012-2022","breeding",-26.1,-48.9,-12.1,-32.4,-34.9,-22,"Wetlands:  Freshwater Marsh",NA
"Massachusetts","amecro","American Crow","Corvus brachyrhynchos","2012-2022","breeding",-17.4,-19.3,-15.7,-10.1,-11.8,-8.42,"Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Massachusetts","amegfi","American Goldfinch","Spinus tristis","2012-2022","breeding",-3.44,-5.87,-0.305,-12.1,-14.1,-10.5,"Open Country:  Habitat Mosaic",NA
"Massachusetts","amekes","American Kestrel","Falco sparverius","2012-2022","breeding",-8.24,-17.3,17,-20.3,-25,-14.5,"Open Country:  Habitat Mosaic",NA
"Massachusetts","ameoys","American Oystercatcher","Haematopus palliatus","2012-2022","breeding",-1.99,-9.24,10,2.54,-3.23,8.02,"Coasts:  Beach and Estuary",NA
"Massachusetts","amepip","American Pipit","Anthus rubescens","2012-2022","nonbreeding",-6.24,-27.7,26.5,-19.2,-21.8,-16.1,"Tundra:  Alpine","Tundra:  Arctic"
"Massachusetts","amered","American Redstart","Setophaga ruticilla","2012-2022","breeding",-11,-14.9,-7.43,6.15,3.89,8.6,"Forests:  Temperate Generalist",NA
"Massachusetts","amerob","American Robin","Turdus migratorius","2012-2022","breeding",-13.4,-16.6,-10.4,-4.16,-6.56,-1.83,"Forests:  Temperate Generalist",NA
"Massachusetts","amewig","American Wigeon","Mareca americana","2012-2022","nonbreeding",-32.2,-40.1,-22.9,-14.6,-17.1,-11.7,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
