team,cap_space,cap_allocation,ltir_adjust,active,ir,ltir,season
ANA,10732743,83827257,0,72400153,4250000,0,2025_2026
BOS,889658,94610342,0,92659242,0,0,2025_2026
BUF,922502,94577498,0,86061422,2686666,0,2025_2026
CAR,8344215,87122785,0,85205539,0,0,2025_2026
CBJ,8749449,86750551,0,80480144,595833,0,2025_2026
CGY,9547472,85952528,0,55890775,13136666,0,2025_2026
CHI,13435809,80376257,0,50134760,11079797,0,2025_2026
COL,708199,94791801,0,88126939,0,0,2025_2026
DAL,0,97996001,-2864251,86528957,0,9850000,2025_2026
DET,11133543,83079878,0,75595187,0,0,2025_2026
EDM,0,97738860,-2488860,72463363,0,15450000,2025_2026
FLA,0,103550828,-8050828,80244507,16025000,5500000,2025_2026
LAK,3652876,91634624,0,71829648,12175000,0,2025_2026
MIN,1188076,93211924,0,87021220,0,0,2025_2026
MTL,45611,93701889,0,84289859,8700000,0,2025_2026
NJD,0,97753351,-3253351,88031613,770963,2750000,2025_2026
NSH,7217812,88282188,0,72033850,0,0,2025_2026
NYI,0,98863361,-3963361,76316659,13750000,3000000,2025_2026
NYR,1815747,93684253,0,78459120,975000,0,2025_2026
OTT,2335974,93164026,0,87045569,0,0,2025_2026
PHI,7082873,88417127,0,72703443,4550000,0,2025_2026
PIT,8372727,87127273,0,73824042,1520312,0,2025_2026
SEA,4331991,91168009,0,87408503,0,0,2025_2026
SJS,272655,90729494,0,53266231,18500000,0,2025_2026
STL,1541099,91805426,0,70203949,6500000,0,2025_2026
TBL,0,96635857,-1135857,86260279,0,8834166,2025_2026
TOR,1545504,93328266,0,82405908,0,4500000,2025_2026
UTA,5482219,90017781,0,84719002,0,0,2025_2026
VAN,2020527,93479473,0,64341904,4437500,7000000,2025_2026
VGK,0,107487474,-11987474,88619955,0,14700000,2025_2026
WAS,4399653,91100347,0,80254379,0,0,2025_2026
WPG,3294223,92205777,0,85719775,0,0,2025_2026
ANA,5553127,82446873,0,63445957,6750000,0,2024_2025
BOS,3162563,84787437,0,59572500,9500000,6500000,2024_2025
BUF,8411808,79588192,0,77193079,0,0,2024_2025
CAR,0,88389802,-389802,85124379,0,2400000,2024_2025
CBJ,14920009,73079991,0,67707083,775000,0,2024_2025
CGY,17369636,70630364,0,63485423,4258768,0,2024_2025
CHI,2285827,85714173,0,54126961,15557143,0,2024_2025
COL,0,98787703,-10787703,73382752,10500000,11500000,2024_2025
DAL,0,96943395,-11538802,85513334,0,9700000,2024_2025
DET,1059829,86940171,0,76989333,5827874,0,2024_2025
EDM,0,94318159,-9868159,80880472,863333,6871667,2024_2025
FLA,0,100894705,-13394705,89271506,0,9500000,2024_2025
